,index,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
0,lower extremity artery,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,0.6666666666666666,0.8,6.0
1,general abodomen,0.625,0.4166666666666667,0.5,12.0,0.6,0.5,0.5454545454545454,12.0,0.6,0.5,0.5454545454545454,12.0,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0
2,ovary,0.9333333333333333,0.7636363636363637,0.84,55.0,0.8913043478260869,0.7454545454545455,0.8118811881188119,55.0,0.9361702127659575,0.8,0.8627450980392157,55.0,0.88,0.8,0.8380952380952381,55.0
3,uterus,0.8776978417266187,0.9682539682539683,0.9207547169811321,126.0,0.8832116788321168,0.9603174603174603,0.920152091254753,126.0,0.8897058823529411,0.9603174603174603,0.9236641221374045,126.0,0.8955223880597015,0.9523809523809523,0.923076923076923,126.0
4,fetus/placenta,1.0,0.7368421052631579,0.8484848484848484,19.0,1.0,0.7894736842105263,0.8823529411764706,19.0,1.0,0.7894736842105263,0.8823529411764706,19.0,1.0,0.7368421052631579,0.8484848484848484,19.0
5,intestinal tract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
6,Bone and soft tissue tumor,0.71875,0.92,0.8070175438596492,125.0,0.7341772151898734,0.928,0.8197879858657244,125.0,0.7516339869281046,0.92,0.827338129496403,125.0,0.7467532467532467,0.92,0.8243727598566308,125.0
7,Bone and soft tissue tumor(joint),0.8,0.8163265306122449,0.8080808080808082,49.0,0.7368421052631579,0.8571428571428571,0.7924528301886793,49.0,0.7543859649122807,0.8775510204081632,0.8113207547169812,49.0,0.8333333333333334,0.9183673469387755,0.8737864077669903,49.0
8,bladder,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0,0.75,0.6818181818181818,0.7142857142857143,22.0,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0
9,mediastinum,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0,1.0,0.8260869565217391,0.9047619047619047,23.0,0.9545454545454546,0.9130434782608695,0.9333333333333332,23.0
10,heart,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,0.9090909090909091,0.9523809523809523,11.0
11,breast,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0,0.9318181818181818,1.0,0.9647058823529412,41.0,0.9534883720930233,1.0,0.9761904761904763,41.0,0.9111111111111111,1.0,0.9534883720930233,41.0
12,head/neck artery,0.753968253968254,0.6737588652482269,0.7116104868913857,141.0,0.7777777777777778,0.7446808510638298,0.7608695652173912,141.0,0.752,0.6666666666666666,0.706766917293233,141.0,0.8166666666666667,0.6950354609929078,0.7509578544061302,141.0
13,maltiple sclerosis,0.5555555555555556,0.21739130434782608,0.3125,23.0,0.625,0.21739130434782608,0.3225806451612903,23.0,0.8571428571428571,0.2608695652173913,0.4,23.0,0.42857142857142855,0.13043478260869565,0.2,23.0
14,brainstem,0.8387096774193549,0.45614035087719296,0.5909090909090909,57.0,0.8928571428571429,0.43859649122807015,0.5882352941176471,57.0,0.8571428571428571,0.42105263157894735,0.5647058823529412,57.0,0.875,0.49122807017543857,0.6292134831460674,57.0
15,epilepsy,0.7647058823529411,0.5652173913043478,0.65,23.0,0.6923076923076923,0.391304347826087,0.5,23.0,0.5625,0.391304347826087,0.46153846153846156,23.0,0.8333333333333334,0.43478260869565216,0.5714285714285714,23.0
16,jaw,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0
17,orbital tumor,0.7647058823529411,0.7222222222222222,0.7428571428571428,18.0,0.8571428571428571,0.6666666666666666,0.75,18.0,0.7142857142857143,0.5555555555555556,0.6250000000000001,18.0,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
18,general brain,0.7759146341463414,0.8144,0.7946916471506635,625.0,0.7782805429864253,0.8256,0.8012422360248448,625.0,0.759941089837997,0.8256,0.7914110429447851,625.0,0.7738095238095238,0.832,0.8018504240555128,625.0
19,optinc nerve,0.25,1.0,0.4,1.0,0.25,1.0,0.4,1.0,0.25,1.0,0.4,1.0,0.5,1.0,0.6666666666666666,1.0
20,newborn brain,0.9354838709677419,0.8787878787878788,0.90625,33.0,0.84375,0.8181818181818182,0.8307692307692308,33.0,0.9,0.8181818181818182,0.8571428571428572,33.0,0.8387096774193549,0.7878787878787878,0.8125,33.0
21,carotid plaque/artery dissection,0.5520833333333334,0.5955056179775281,0.572972972972973,89.0,0.625,0.5617977528089888,0.591715976331361,89.0,0.6086956521739131,0.6292134831460674,0.6187845303867403,89.0,0.5638297872340425,0.5955056179775281,0.5792349726775957,89.0
22,pituitaly gland,0.875,0.9292035398230089,0.9012875536480688,113.0,0.8739495798319328,0.9203539823008849,0.8965517241379309,113.0,0.8803418803418803,0.911504424778761,0.8956521739130435,113.0,0.8688524590163934,0.9380530973451328,0.902127659574468,113.0
23,brian metastasis,0.9402173913043478,0.9251336898395722,0.9326145552560646,187.0,0.9395604395604396,0.9144385026737968,0.926829268292683,187.0,0.9608938547486033,0.9197860962566845,0.9398907103825136,187.0,0.9447513812154696,0.9144385026737968,0.9293478260869565,187.0
24,brain tumor/encephalitis,0.7314814814814815,0.7694805194805194,0.7499999999999999,308.0,0.6993865030674846,0.7402597402597403,0.719242902208202,308.0,0.7227414330218068,0.7532467532467533,0.737678855325914,308.0,0.709375,0.737012987012987,0.7229299363057325,308.0
25,vestibulocochlear,0.7647058823529411,0.7913043478260869,0.7777777777777778,115.0,0.7272727272727273,0.7652173913043478,0.7457627118644068,115.0,0.7647058823529411,0.7913043478260869,0.7777777777777778,115.0,0.8034188034188035,0.8173913043478261,0.810344827586207,115.0
26,dementia,0.7906976744186046,0.8571428571428571,0.8225806451612903,119.0,0.7936507936507936,0.8403361344537815,0.8163265306122449,119.0,0.8412698412698413,0.8907563025210085,0.8653061224489796,119.0,0.7862595419847328,0.865546218487395,0.824,119.0
27,head/spine(newborn),0.5,0.2222222222222222,0.30769230769230765,9.0,0.2,0.2222222222222222,0.2105263157894737,9.0,0.2857142857142857,0.2222222222222222,0.25,9.0,0.4,0.2222222222222222,0.2857142857142857,9.0
28,kidney/adrenal glad,0.8571428571428571,1.0,0.923076923076923,30.0,0.90625,0.9666666666666667,0.9354838709677419,30.0,0.8529411764705882,0.9666666666666667,0.90625,30.0,0.8787878787878788,0.9666666666666667,0.9206349206349207,30.0
29,abdominal vessels,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0
30,hip joint,1.0,0.8,0.888888888888889,20.0,1.0,0.85,0.9189189189189189,20.0,1.0,0.8,0.888888888888889,20.0,1.0,0.8,0.888888888888889,20.0
31,knee,1.0,0.9761904761904762,0.9879518072289156,42.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0,1.0,0.9761904761904762,0.9879518072289156,42.0
32,Myositis,0.9333333333333333,0.875,0.9032258064516129,16.0,0.9333333333333333,0.875,0.9032258064516129,16.0,0.9333333333333333,0.875,0.9032258064516129,16.0,0.8235294117647058,0.875,0.8484848484848485,16.0
33,ankle joint,1.0,0.7142857142857143,0.8333333333333333,7.0,1.0,0.7142857142857143,0.8333333333333333,7.0,0.6,0.42857142857142855,0.5,7.0,1.0,0.8571428571428571,0.923076923076923,7.0
34,toes,0.75,0.375,0.5,8.0,0.3333333333333333,0.125,0.18181818181818182,8.0,0.8,0.5,0.6153846153846154,8.0,1.0,0.625,0.7692307692307693,8.0
35,upper abdomen,0.9111111111111111,0.82,0.8631578947368421,50.0,0.9285714285714286,0.78,0.8478260869565217,50.0,0.8888888888888888,0.8,0.8421052631578948,50.0,0.8571428571428571,0.84,0.8484848484848485,50.0
36,MRCP,0.987460815047022,0.984375,0.9859154929577465,320.0,0.9811912225705329,0.978125,0.9796557120500783,320.0,0.9874213836477987,0.98125,0.9843260188087775,320.0,0.9905660377358491,0.984375,0.9874608150470221,320.0
37,liver,0.97,0.9897959183673469,0.9797979797979798,98.0,0.9607843137254902,1.0,0.98,98.0,0.9696969696969697,0.9795918367346939,0.9746192893401016,98.0,0.9690721649484536,0.9591836734693877,0.964102564102564,98.0
38,head and neck(soft tissue),0.9466666666666667,0.9594594594594594,0.9530201342281879,74.0,0.9583333333333334,0.9324324324324325,0.9452054794520548,74.0,0.96,0.972972972972973,0.9664429530201343,74.0,0.9452054794520548,0.9324324324324325,0.9387755102040816,74.0
39,prostate,0.9868421052631579,0.9375,0.9615384615384615,80.0,0.9868421052631579,0.9375,0.9615384615384615,80.0,0.9868421052631579,0.9375,0.9615384615384615,80.0,0.9864864864864865,0.9125,0.948051948051948,80.0
40,hernia,0.6666666666666666,1.0,0.8,2.0,0.5,1.0,0.6666666666666666,2.0,0.5,1.0,0.6666666666666666,2.0,0.5,1.0,0.6666666666666666,2.0
41,lower abdomen,0.5454545454545454,0.5142857142857142,0.5294117647058822,35.0,0.5,0.4857142857142857,0.49275362318840576,35.0,0.5161290322580645,0.45714285714285713,0.4848484848484849,35.0,0.5172413793103449,0.42857142857142855,0.46875000000000006,35.0
42,rectum,0.8,0.6666666666666666,0.7272727272727272,6.0,0.6,0.5,0.5454545454545454,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,6.0
43,cervical spine,0.9680851063829787,0.9578947368421052,0.962962962962963,95.0,0.9270833333333334,0.9368421052631579,0.9319371727748692,95.0,0.9285714285714286,0.9578947368421052,0.9430051813471502,95.0,0.9263157894736842,0.9263157894736842,0.9263157894736842,95.0
44,brachial plexus,0.8,0.5714285714285714,0.6666666666666666,7.0,0.5,0.2857142857142857,0.36363636363636365,7.0,0.5,0.2857142857142857,0.36363636363636365,7.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
45,thoracic spine,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0,0.7941176470588235,0.9,0.84375,30.0,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
46,lumbar spine,0.9608938547486033,0.9555555555555556,0.958217270194986,180.0,0.9659090909090909,0.9444444444444444,0.9550561797752809,180.0,0.9502762430939227,0.9555555555555556,0.9529085872576178,180.0,0.9662921348314607,0.9555555555555556,0.9608938547486034,180.0
47,whole spine,0.9390243902439024,0.9506172839506173,0.9447852760736196,81.0,0.927710843373494,0.9506172839506173,0.9390243902439024,81.0,0.9506172839506173,0.9506172839506173,0.9506172839506173,81.0,0.95,0.9382716049382716,0.9440993788819876,81.0
48,Spinal cord lesion,0.7317073170731707,0.7317073170731707,0.7317073170731707,41.0,0.6944444444444444,0.6097560975609756,0.6493506493506495,41.0,0.7073170731707317,0.7073170731707317,0.7073170731707317,41.0,0.7368421052631579,0.6829268292682927,0.7088607594936709,41.0
49,Sacral spine pelvis,0.6666666666666666,0.25,0.36363636363636365,8.0,0.5,0.125,0.2,8.0,0.0,0.0,0.0,8.0,0.6666666666666666,0.25,0.36363636363636365,8.0
50,shoulder,0.9807692307692307,0.9622641509433962,0.9714285714285713,53.0,0.9811320754716981,0.9811320754716981,0.9811320754716981,53.0,0.9803921568627451,0.9433962264150944,0.9615384615384616,53.0,0.9814814814814815,1.0,0.9906542056074767,53.0
51,wrist,0.5,0.6666666666666666,0.5714285714285715,3.0,0.5,0.3333333333333333,0.4,3.0,1.0,1.0,1.0,3.0,0.75,1.0,0.8571428571428571,3.0
52,finger,0.5,0.2,0.28571428571428575,5.0,1.0,0.2,0.33333333333333337,5.0,0.6666666666666666,0.4,0.5,5.0,0.6666666666666666,0.4,0.5,5.0
53,elbow,0.5,0.5,0.5,2.0,0.6666666666666666,1.0,0.8,2.0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,2.0
54,accuracy,0.8422203992343451,0.8422203992343451,0.8422203992343451,0.8422203992343451,0.8364779874213837,0.8364779874213837,0.8364779874213837,0.8364779874213837,0.8408531583264971,0.8408531583264971,0.8408531583264971,0.8408531583264971,0.8416735028712059,0.8416735028712059,0.8416735028712059,0.8416735028712059
55,macro avg,0.8175331557235624,0.7609405121688099,0.7719951226058006,3657.0,0.7972189700238644,0.7452790995632675,0.7484039526591478,3657.0,0.7790290332347074,0.7368128318190297,0.7423089109595185,3657.0,0.8006017181682356,0.7552180810454018,0.7634814465754913,3657.0
56,weighted avg,0.8438070633445834,0.8422203992343451,0.8394068163652896,3657.0,0.837731047012741,0.8364779874213837,0.8326838416464979,3657.0,0.8413044566764929,0.8408531583264971,0.8371603505822848,3657.0,0.8425348970801548,0.8416735028712059,0.8385000461674368,3657.0
