,A2,AB1,AB3,AB4,AB5,AB6,B1,B2,BL1,C1,C2,C3,H1,H12,H13,H15,H17,H18,H2,H20,H3,H4,H5,H6,H7,H8,H9,HS,K1,K2,L1,L2,L3,L4,L5,LI1,LI2,LI3,N1,P1,PL1,R1,R2,S1,S2,S3,S4,S5,S6,S9,U2,U3,U4,U5,accuracy,macro avg,weighted avg
precision,1.0,0.625,0.9333333333333333,0.8776978417266187,1.0,1.0,0.71875,0.8,0.8823529411764706,0.9047619047619048,1.0,0.9512195121951219,0.753968253968254,0.5555555555555556,0.8387096774193549,0.7647058823529411,1.0,0.7647058823529411,0.7759146341463414,0.25,0.9354838709677419,0.5520833333333334,0.875,0.9402173913043478,0.7314814814814815,0.7647058823529411,0.7906976744186046,0.5,0.8571428571428571,1.0,1.0,1.0,0.9333333333333333,1.0,0.75,0.9111111111111111,0.987460815047022,0.97,0.9466666666666667,0.9868421052631579,0.6666666666666666,0.5454545454545454,0.8,0.9680851063829787,0.8,0.7586206896551724,0.9608938547486033,0.9390243902439024,0.7317073170731707,0.6666666666666666,0.9807692307692307,0.5,0.5,0.5,0.8422203992343451,0.8175331557235624,0.8438070633445834
recall,1.0,0.4166666666666667,0.7636363636363637,0.9682539682539683,0.7368421052631579,1.0,0.92,0.8163265306122449,0.6818181818181818,0.8260869565217391,1.0,0.9512195121951219,0.6737588652482269,0.21739130434782608,0.45614035087719296,0.5652173913043478,1.0,0.7222222222222222,0.8144,1.0,0.8787878787878788,0.5955056179775281,0.9292035398230089,0.9251336898395722,0.7694805194805194,0.7913043478260869,0.8571428571428571,0.2222222222222222,1.0,0.5,0.8,0.9761904761904762,0.875,0.7142857142857143,0.375,0.82,0.984375,0.9897959183673469,0.9594594594594594,0.9375,1.0,0.5142857142857142,0.6666666666666666,0.9578947368421052,0.5714285714285714,0.7333333333333333,0.9555555555555556,0.9506172839506173,0.7317073170731707,0.25,0.9622641509433962,0.6666666666666666,0.2,0.5,0.8422203992343451,0.7609405121688099,0.8422203992343451
f1-score,1.0,0.5,0.84,0.9207547169811321,0.8484848484848484,1.0,0.8070175438596492,0.8080808080808082,0.7692307692307693,0.8636363636363636,1.0,0.9512195121951219,0.7116104868913857,0.3125,0.5909090909090909,0.65,1.0,0.7428571428571428,0.7946916471506635,0.4,0.90625,0.572972972972973,0.9012875536480688,0.9326145552560646,0.7499999999999999,0.7777777777777778,0.8225806451612903,0.30769230769230765,0.923076923076923,0.6666666666666666,0.888888888888889,0.9879518072289156,0.9032258064516129,0.8333333333333333,0.5,0.8631578947368421,0.9859154929577465,0.9797979797979798,0.9530201342281879,0.9615384615384615,0.8,0.5294117647058822,0.7272727272727272,0.962962962962963,0.6666666666666666,0.7457627118644068,0.958217270194986,0.9447852760736196,0.7317073170731707,0.36363636363636365,0.9714285714285713,0.5714285714285715,0.28571428571428575,0.5,0.8422203992343451,0.7719951226058006,0.8394068163652896
precision,1.0,0.6,0.8913043478260869,0.8832116788321168,1.0,1.0,0.7341772151898734,0.7368421052631579,0.7272727272727273,0.9473684210526315,1.0,0.9318181818181818,0.7777777777777778,0.625,0.8928571428571429,0.6923076923076923,1.0,0.8571428571428571,0.7782805429864253,0.25,0.84375,0.625,0.8739495798319328,0.9395604395604396,0.6993865030674846,0.7272727272727273,0.7936507936507936,0.2,0.90625,1.0,1.0,0.9761904761904762,0.9333333333333333,1.0,0.3333333333333333,0.9285714285714286,0.9811912225705329,0.9607843137254902,0.9583333333333334,0.9868421052631579,0.5,0.5,0.6,0.9270833333333334,0.5,0.7941176470588235,0.9659090909090909,0.927710843373494,0.6944444444444444,0.5,0.9811320754716981,0.5,1.0,0.6666666666666666,0.8364779874213837,0.7972189700238644,0.837731047012741
recall,1.0,0.5,0.7454545454545455,0.9603174603174603,0.7894736842105263,1.0,0.928,0.8571428571428571,0.7272727272727273,0.782608695652174,1.0,1.0,0.7446808510638298,0.21739130434782608,0.43859649122807015,0.391304347826087,1.0,0.6666666666666666,0.8256,1.0,0.8181818181818182,0.5617977528089888,0.9203539823008849,0.9144385026737968,0.7402597402597403,0.7652173913043478,0.8403361344537815,0.2222222222222222,0.9666666666666667,0.5,0.85,0.9761904761904762,0.875,0.7142857142857143,0.125,0.78,0.978125,1.0,0.9324324324324325,0.9375,1.0,0.4857142857142857,0.5,0.9368421052631579,0.2857142857142857,0.9,0.9444444444444444,0.9506172839506173,0.6097560975609756,0.125,0.9811320754716981,0.3333333333333333,0.2,1.0,0.8364779874213837,0.7452790995632675,0.8364779874213837
f1-score,1.0,0.5454545454545454,0.8118811881188119,0.920152091254753,0.8823529411764706,1.0,0.8197879858657244,0.7924528301886793,0.7272727272727273,0.8571428571428571,1.0,0.9647058823529412,0.7608695652173912,0.3225806451612903,0.5882352941176471,0.5,1.0,0.75,0.8012422360248448,0.4,0.8307692307692308,0.591715976331361,0.8965517241379309,0.926829268292683,0.719242902208202,0.7457627118644068,0.8163265306122449,0.2105263157894737,0.9354838709677419,0.6666666666666666,0.9189189189189189,0.9761904761904762,0.9032258064516129,0.8333333333333333,0.18181818181818182,0.8478260869565217,0.9796557120500783,0.98,0.9452054794520548,0.9615384615384615,0.6666666666666666,0.49275362318840576,0.5454545454545454,0.9319371727748692,0.36363636363636365,0.84375,0.9550561797752809,0.9390243902439024,0.6493506493506495,0.2,0.9811320754716981,0.4,0.33333333333333337,0.8,0.8364779874213837,0.7484039526591478,0.8326838416464979
precision,1.0,0.6,0.9361702127659575,0.8897058823529411,1.0,0.0,0.7516339869281046,0.7543859649122807,0.75,1.0,1.0,0.9534883720930233,0.752,0.8571428571428571,0.8571428571428571,0.5625,1.0,0.7142857142857143,0.759941089837997,0.25,0.9,0.6086956521739131,0.8803418803418803,0.9608938547486033,0.7227414330218068,0.7647058823529411,0.8412698412698413,0.2857142857142857,0.8529411764705882,1.0,1.0,0.9761904761904762,0.9333333333333333,0.6,0.8,0.8888888888888888,0.9874213836477987,0.9696969696969697,0.96,0.9868421052631579,0.5,0.5161290322580645,0.6666666666666666,0.9285714285714286,0.5,0.8928571428571429,0.9502762430939227,0.9506172839506173,0.7073170731707317,0.0,0.9803921568627451,1.0,0.6666666666666666,0.5,0.8408531583264971,0.7790290332347074,0.8413044566764929
recall,1.0,0.5,0.8,0.9603174603174603,0.7894736842105263,0.0,0.92,0.8775510204081632,0.6818181818181818,0.8260869565217391,1.0,1.0,0.6666666666666666,0.2608695652173913,0.42105263157894735,0.391304347826087,1.0,0.5555555555555556,0.8256,1.0,0.8181818181818182,0.6292134831460674,0.911504424778761,0.9197860962566845,0.7532467532467533,0.7913043478260869,0.8907563025210085,0.2222222222222222,0.9666666666666667,0.5,0.8,0.9761904761904762,0.875,0.42857142857142855,0.5,0.8,0.98125,0.9795918367346939,0.972972972972973,0.9375,1.0,0.45714285714285713,0.6666666666666666,0.9578947368421052,0.2857142857142857,0.8333333333333334,0.9555555555555556,0.9506172839506173,0.7073170731707317,0.0,0.9433962264150944,1.0,0.4,0.5,0.8408531583264971,0.7368128318190297,0.8408531583264971
f1-score,1.0,0.5454545454545454,0.8627450980392157,0.9236641221374045,0.8823529411764706,0.0,0.827338129496403,0.8113207547169812,0.7142857142857143,0.9047619047619047,1.0,0.9761904761904763,0.706766917293233,0.4,0.5647058823529412,0.46153846153846156,1.0,0.6250000000000001,0.7914110429447851,0.4,0.8571428571428572,0.6187845303867403,0.8956521739130435,0.9398907103825136,0.737678855325914,0.7777777777777778,0.8653061224489796,0.25,0.90625,0.6666666666666666,0.888888888888889,0.9761904761904762,0.9032258064516129,0.5,0.6153846153846154,0.8421052631578948,0.9843260188087775,0.9746192893401016,0.9664429530201343,0.9615384615384615,0.6666666666666666,0.4848484848484849,0.6666666666666666,0.9430051813471502,0.36363636363636365,0.8620689655172413,0.9529085872576178,0.9506172839506173,0.7073170731707317,0.0,0.9615384615384616,1.0,0.5,0.5,0.8408531583264971,0.7423089109595185,0.8371603505822848
precision,1.0,0.45454545454545453,0.88,0.8955223880597015,1.0,1.0,0.7467532467532467,0.8333333333333334,0.7894736842105263,0.9545454545454546,1.0,0.9111111111111111,0.8166666666666667,0.42857142857142855,0.875,0.8333333333333334,1.0,0.7058823529411765,0.7738095238095238,0.5,0.8387096774193549,0.5638297872340425,0.8688524590163934,0.9447513812154696,0.709375,0.8034188034188035,0.7862595419847328,0.4,0.8787878787878788,1.0,1.0,1.0,0.8235294117647058,1.0,1.0,0.8571428571428571,0.9905660377358491,0.9690721649484536,0.9452054794520548,0.9864864864864865,0.5,0.5172413793103449,0.5714285714285714,0.9263157894736842,0.42857142857142855,0.8064516129032258,0.9662921348314607,0.95,0.7368421052631579,0.6666666666666666,0.9814814814814815,0.75,0.6666666666666666,0.0,0.8416735028712059,0.8006017181682356,0.8425348970801548
