,A2,AB1,AB3,AB4,AB5,AB6,B1,B2,BL1,C1,C2,C3,H1,H12,H13,H15,H17,H18,H2,H20,H3,H4,H5,H6,H7,H8,H9,HS,K1,K2,L1,L2,L3,L4,L5,LI1,LI2,LI3,N1,P1,PL1,R1,R2,S1,S2,S3,S4,S5,S6,S9,U2,U3,U4,U5,accuracy,macro avg,weighted avg
precision,0.75,0.5,0.9215686274509803,0.9090909090909091,1.0,1.0,0.7862595419847328,0.6779661016949152,0.8333333333333334,0.76,1.0,0.9302325581395349,0.8584070796460177,0.7777777777777778,0.9629629629629629,0.8823529411764706,1.0,0.6956521739130435,0.7693389592123769,0.16666666666666666,0.8275862068965517,0.5934065934065934,0.8253968253968254,0.925531914893617,0.7886792452830189,0.752,0.8211382113821138,0.6666666666666666,0.967741935483871,1.0,0.9375,0.9302325581395349,1.0,0.5714285714285714,0.6666666666666666,0.8048780487804879,0.9688473520249221,0.9411764705882353,0.9178082191780822,0.987012987012987,0.5,0.4411764705882353,0.4,0.88,0.25,0.5,0.828125,0.6111111111111112,0.75,0.6666666666666666,0.9622641509433962,0.5,0.4,0.3333333333333333,0.8203445447087777,0.7610737933133558,0.8266269224379932
recall,1.0,0.6666666666666666,0.8545454545454545,0.9523809523809523,0.7368421052631579,1.0,0.824,0.8163265306122449,0.6818181818181818,0.8260869565217391,0.9090909090909091,0.975609756097561,0.6879432624113475,0.30434782608695654,0.45614035087719296,0.6521739130434783,1.0,0.8888888888888888,0.8752,1.0,0.7272727272727273,0.6067415730337079,0.9203539823008849,0.93048128342246,0.6785714285714286,0.8173913043478261,0.8487394957983193,0.2222222222222222,1.0,0.5,0.75,0.9523809523809523,0.625,0.5714285714285714,0.25,0.66,0.971875,0.9795918367346939,0.9054054054054054,0.95,1.0,0.42857142857142855,0.6666666666666666,0.6947368421052632,0.2857142857142857,0.5333333333333333,0.8833333333333333,0.6790123456790124,0.8048780487804879,0.25,0.9622641509433962,0.6666666666666666,0.4,0.5,0.8203445447087777,0.7357536044262557,0.8203445447087777
f1-score,0.8571428571428571,0.5714285714285715,0.8867924528301887,0.9302325581395349,0.8484848484848484,1.0,0.8046875,0.7407407407407407,0.7499999999999999,0.7916666666666667,0.9523809523809523,0.9523809523809524,0.7637795275590551,0.43750000000000006,0.6190476190476191,0.75,1.0,0.7804878048780488,0.8188622754491018,0.2857142857142857,0.7741935483870968,0.6,0.8702928870292888,0.928,0.7294938917975567,0.7833333333333333,0.8347107438016529,0.3333333333333333,0.9836065573770492,0.6666666666666666,0.8333333333333334,0.9411764705882352,0.7692307692307693,0.5714285714285714,0.36363636363636365,0.7252747252747254,0.9703588143525741,0.96,0.9115646258503401,0.9681528662420381,0.6666666666666666,0.43478260869565216,0.5,0.7764705882352942,0.26666666666666666,0.5161290322580646,0.8548387096774193,0.6432748538011697,0.7764705882352942,0.36363636363636365,0.9622641509433962,0.5714285714285715,0.4000000000000001,0.4,0.8203445447087777,0.7257730724953873,0.8177414176713286
precision,1.0,0.5,0.9090909090909091,0.9444444444444444,0.9444444444444444,0.5,0.7517241379310344,0.8478260869565217,0.8823529411764706,0.75,0.9,0.9090909090909091,0.8,0.75,0.75,0.7857142857142857,1.0,0.8888888888888888,0.7991329479768786,0.3333333333333333,0.8571428571428571,0.7571428571428571,0.8974358974358975,0.9723756906077348,0.7966666666666666,0.7479674796747967,0.8536585365853658,0.42857142857142855,0.9090909090909091,1.0,0.9,0.9111111111111111,0.6956521739130435,1.0,0.75,0.8717948717948718,0.9721362229102167,0.9696969696969697,0.96,1.0,0.6666666666666666,0.5294117647058824,0.4166666666666667,0.8235294117647058,0.4,0.5714285714285714,0.8478260869565217,0.57,0.7837837837837838,0.5,0.8983050847457628,0.6,0.6666666666666666,0.3333333333333333,0.8392124692370796,0.7741500932983596,0.8398898526000488
recall,1.0,0.75,0.9090909090909091,0.9444444444444444,0.8947368421052632,1.0,0.872,0.7959183673469388,0.6818181818181818,0.782608695652174,0.8181818181818182,0.975609756097561,0.7659574468085106,0.2608695652173913,0.631578947368421,0.4782608695652174,1.0,0.4444444444444444,0.8848,1.0,0.7272727272727273,0.5955056179775281,0.9292035398230089,0.9411764705882353,0.775974025974026,0.8,0.8823529411764706,0.3333333333333333,1.0,0.5,0.9,0.9761904761904762,1.0,0.2857142857142857,0.375,0.68,0.98125,0.9795918367346939,0.972972972972973,0.9625,1.0,0.2571428571428571,0.8333333333333334,0.7368421052631579,0.2857142857142857,0.4,0.8666666666666667,0.7037037037037037,0.7073170731707317,0.125,1.0,1.0,0.4,0.5,0.8392124692370796,0.7463718248313661,0.8392124692370796
f1-score,1.0,0.6,0.9090909090909091,0.9444444444444444,0.918918918918919,0.6666666666666666,0.8074074074074075,0.8210526315789473,0.7692307692307693,0.7659574468085107,0.8571428571428572,0.9411764705882352,0.7826086956521738,0.3870967741935483,0.6857142857142857,0.5945945945945946,1.0,0.5925925925925926,0.8397873955960516,0.5,0.7868852459016394,0.6666666666666667,0.9130434782608695,0.9565217391304347,0.7861842105263158,0.773109243697479,0.8677685950413223,0.375,0.9523809523809523,0.6666666666666666,0.9,0.9425287356321839,0.8205128205128205,0.4444444444444445,0.5,0.7640449438202247,0.9766718506998445,0.9746192893401016,0.9664429530201343,0.980891719745223,0.8,0.34615384615384615,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.47058823529411764,0.8571428571428571,0.6298342541436465,0.7435897435897435,0.2,0.9464285714285715,0.7499999999999999,0.5,0.4,0.8392124692370796,0.7353383442616237,0.8347223557191702
precision,0.8571428571428571,0.5,0.9038461538461539,0.916030534351145,0.9411764705882353,0.5,0.7535211267605634,0.75,0.8823529411764706,0.9444444444444444,0.9090909090909091,0.9302325581395349,0.8691588785046729,1.0,0.7441860465116279,0.6666666666666666,1.0,0.6428571428571429,0.8217665615141956,0.16666666666666666,0.9130434782608695,0.5517241379310345,0.8938053097345132,0.9649122807017544,0.7220630372492837,0.7899159663865546,0.8045112781954887,0.375,0.9354838709677419,1.0,0.9473684210526315,0.9302325581395349,0.7647058823529411,0.75,0.6666666666666666,0.8809523809523809,0.9720496894409938,0.9504950495049505,0.9305555555555556,1.0,0.4,0.5517241379310345,0.6666666666666666,0.863013698630137,0.4444444444444444,0.6086956521739131,0.8109452736318408,0.5977011494252874,0.7,0.3333333333333333,0.9803921568627451,1.0,0.5714285714285714,0.5,0.8263604047033087,0.7679809371459659,0.8333569745621495
recall,1.0,0.6666666666666666,0.8545454545454545,0.9523809523809523,0.8421052631578947,1.0,0.856,0.7959183673469388,0.6818181818181818,0.7391304347826086,0.9090909090909091,0.975609756097561,0.6595744680851063,0.043478260869565216,0.5614035087719298,0.782608695652174,1.0,0.5,0.8336,1.0,0.6363636363636364,0.7191011235955056,0.8938053097345132,0.8823529411764706,0.8181818181818182,0.8173913043478261,0.8991596638655462,0.3333333333333333,0.9666666666666667,0.5,0.9,0.9523809523809523,0.8125,0.42857142857142855,0.5,0.74,0.978125,0.9795918367346939,0.9054054054054054,0.9875,1.0,0.45714285714285713,0.6666666666666666,0.6631578947368421,0.5714285714285714,0.4666666666666667,0.9055555555555556,0.6419753086419753,0.6829268292682927,0.125,0.9433962264150944,0.3333333333333333,0.8,0.5,0.8263604047033087,0.7418816898051775,0.8263604047033087
f1-score,0.923076923076923,0.5714285714285715,0.8785046728971962,0.933852140077821,0.8888888888888888,0.6666666666666666,0.8014981273408239,0.7722772277227722,0.7692307692307693,0.8292682926829269,0.9090909090909091,0.9523809523809524,0.75,0.08333333333333333,0.6399999999999999,0.72,1.0,0.5625000000000001,0.8276409849086577,0.2857142857142857,0.75,0.624390243902439,0.8938053097345132,0.9217877094972067,0.7671232876712328,0.8034188034188035,0.8492063492063493,0.35294117647058826,0.9508196721311476,0.6666666666666666,0.9230769230769231,0.9411764705882352,0.787878787878788,0.5454545454545454,0.5714285714285715,0.8043478260869565,0.9750778816199377,0.964824120603015,0.9178082191780821,0.9937106918238994,0.5714285714285715,0.5,0.6666666666666666,0.75,0.5,0.5283018867924527,0.8556430446194224,0.6190476190476192,0.6913580246913581,0.18181818181818182,0.9615384615384616,0.5,0.6666666666666666,0.5,0.8263604047033087,0.727088243058311,0.823637980623696
precision,1.0,0.6666666666666666,0.8947368421052632,0.944,0.9333333333333333,1.0,0.7730496453900709,0.6949152542372882,0.8333333333333334,0.76,1.0,0.9523809523809523,0.768,0.7142857142857143,0.85,0.7142857142857143,1.0,0.75,0.7808417997097242,0.3333333333333333,0.8387096774193549,0.7796610169491526,0.8583333333333333,0.9417989417989417,0.7207207207207207,0.7964601769911505,0.8448275862068966,0.2631578947368421,0.9354838709677419,1.0,0.9047619047619048,0.9318181818181818,0.7777777777777778,1.0,0.0,0.896551724137931,0.9545454545454546,0.9595959595959596,0.9710144927536232,0.963855421686747,0.3333333333333333,0.5,0.6666666666666666,0.8589743589743589,0.5,1.0,0.772093023255814,0.6046511627906976,0.7352941176470589,0.3333333333333333,0.9629629629629629,0.75,0.75,0.5,0.8247197156138911,0.7772138089671728,0.8265350497233531
