,f1,i1,f2,i2,f3,i3,f4,i4
0,pos_lbl,0.30819528772948157,pos_lbl,0.3210193447589603,pos_lbl,0.31068979889671566,pos_lbl,0.3066561492141457
1,year,0.026977905899882595,year,0.025067150089153285,year,0.027767378681560487,year,0.027653821982446813
2,Dvec30,0.021680081403318896,Dvec25,0.022352544042872485,Dvec30,0.022264485691954265,Dvec30,0.02167594158437654
3,Dvec25,0.018201249049995913,Dvec30,0.02072971413933599,Dvec12,0.021907559828416818,Dvec25,0.02118991357030445
4,Dvec64,0.01796431965471676,Dvec40,0.019158793851044686,Dvec25,0.020553507566424448,sec_lbl,0.019827801652116648
5,sec_lbl,0.017734304483653703,Dvec64,0.01669714101827494,Dvec40,0.017409408795221355,Dvec40,0.019701011214280226
6,Dvec40,0.016072714475216663,Dvec88,0.016594317711562306,Dvec91,0.016577382131441016,Dvec12,0.018530410232434003
7,Dvec82,0.013498998963675114,Dvec61,0.016152135188398677,sec_lbl,0.015949381189728273,Dvec64,0.014268876566072449
8,Dvec85,0.013315035203399968,Dvec12,0.015305032732191057,Dvec82,0.013522911368961523,Dvec88,0.01417270750016165
9,Dvec88,0.013067854523543098,Dvec91,0.01489257524716548,単純,0.011738691329468592,Dvec57,0.014036138728518752
10,Dvec91,0.012698063972553924,Dvec85,0.014832784617852278,Dvec85,0.011157280037780918,Dvec82,0.013343408065683137
11,Dvec57,0.01233506442806548,Dvec57,0.013681220646389219,Dvec88,0.011101306260852263,Dvec37,0.012897681434753908
12,単純,0.012300572407895574,sec_lbl,0.013601800759454438,Dvec64,0.009990000238093514,Dvec85,0.01226814452990365
13,Dvec12,0.011872432382247413,単純,0.01124093905293435,Dvec41,0.009971507092637003,Dvec33,0.011800444815060453
14,Dvec99,0.010431971286467384,Dvec33,0.011189331071358876,Dvec57,0.009925219463516419,Dvec91,0.011300933197630623
15,Dvec92,0.010157574214687205,Dvec7,0.010958000904655154,Dvec99,0.009300013164881943,単純,0.011010168755805377
16,Dvec3,0.009526144631218687,Dvec92,0.009558628242177613,Dvec92,0.009176878127320778,Dvec99,0.01026601503719292
17,Dvec33,0.00937557541528148,Dvec99,0.009022382923254527,Dvec33,0.009111979105587923,Dvec13,0.009189291884312528
18,Dvec41,0.008830460006939043,Dvec44,0.007850193697500098,Dvec5,0.009108938793848028,Dvec29,0.008569423271452842
19,Dvec61,0.00843887608481372,Dvec21,0.0072705447845601585,Dvec61,0.00834557481188263,Dvec21,0.008018070655670029
20,P(f)vec58,0.007945881694961897,Dvec37,0.007199126508052968,Dvec93,0.008212018642312411,Dvec73,0.007704275004775444
21,Dvec98,0.007739253441106679,Dvec41,0.007080816072539076,Dvec4,0.007991060303343372,Dvec61,0.0073592082668328795
22,Dvec13,0.007388853760249913,Dvec13,0.007066148207139486,Dvec21,0.007855178973537706,Dvec68,0.007243190341654178
23,Dvec50,0.007298049327012791,Dvec29,0.007042933652126041,Dvec13,0.007817284939776006,Dvec36,0.006947924710709699
24,Dvec6,0.007043902126766597,Dvec68,0.006633472713382183,Dvec98,0.007494261241826752,Dvec92,0.006922219641299401
25,Dvec68,0.006969547715624262,Dvec53,0.006608199652571547,Dvec68,0.007272766790508642,Dvec10,0.006882754115075412
26,Dvec21,0.0068380686279103636,P(f)vec158,0.00642244847403898,Dvec29,0.00723446927314382,Dvec41,0.006486138904165978
27,Dvec59,0.0065688471503588496,Dvec8,0.006376179713384706,Dvec36,0.006964411738667731,Dvec59,0.006376423211778701
28,Dvec8,0.006460677363421904,Dvec98,0.006163368973491634,Dvec3,0.006755478094470056,Dvec98,0.006253176229196203
29,Dvec29,0.006357021547878351,Dvec36,0.006143849738569308,Dvec44,0.006728558279582063,Dvec44,0.00592326753922554
