,index,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
0,lower extremity artery,0.8571428571428571,1.0,0.923076923076923,6.0,1.0,0.8333333333333334,0.9090909090909091,6.0,1.0,0.8333333333333334,0.9090909090909091,6.0,1.0,0.6666666666666666,0.8,6.0
1,general abodomen,0.6666666666666666,0.5,0.5714285714285715,12.0,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,0.5454545454545454,0.5,0.5217391304347826,12.0,0.5,0.5,0.5,12.0
2,ovary,0.9,0.8181818181818182,0.8571428571428572,55.0,0.8936170212765957,0.7636363636363637,0.8235294117647058,55.0,0.8775510204081632,0.7818181818181819,0.8269230769230769,55.0,0.9166666666666666,0.8,0.854368932038835,55.0
3,uterus,0.8970588235294118,0.9682539682539683,0.9312977099236641,126.0,0.8768115942028986,0.9603174603174603,0.9166666666666666,126.0,0.8623188405797102,0.9444444444444444,0.9015151515151516,126.0,0.8872180451127819,0.9365079365079365,0.9111969111969112,126.0
4,fetus/placenta,1.0,0.8421052631578947,0.9142857142857143,19.0,1.0,0.7368421052631579,0.8484848484848484,19.0,0.9090909090909091,0.5263157894736842,0.6666666666666666,19.0,1.0,0.7368421052631579,0.8484848484848484,19.0
5,intestinal tract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Bone and soft tissue tumor,0.7532467532467533,0.928,0.8315412186379929,125.0,0.7597402597402597,0.936,0.8387096774193549,125.0,0.7718120805369127,0.92,0.8394160583941606,125.0,0.7581699346405228,0.928,0.8345323741007195,125.0
7,Bone and soft tissue tumor(joint),0.7678571428571429,0.8775510204081632,0.819047619047619,49.0,0.7592592592592593,0.8367346938775511,0.796116504854369,49.0,0.7636363636363637,0.8571428571428571,0.8076923076923076,49.0,0.8070175438596491,0.9387755102040817,0.8679245283018868,49.0
8,bladder,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0,0.6666666666666666,0.7272727272727273,0.6956521739130435,22.0,0.7619047619047619,0.7272727272727273,0.7441860465116279,22.0,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0
9,mediastinum,0.9523809523809523,0.8695652173913043,0.909090909090909,23.0,1.0,0.8695652173913043,0.9302325581395349,23.0,1.0,0.9565217391304348,0.9777777777777777,23.0,0.9523809523809523,0.8695652173913043,0.909090909090909,23.0
