,A2,AB1,AB3,AB4,AB5,AB6,B1,B2,BL1,C1,C2,C3,H1,H12,H13,H15,H17,H18,H2,H20,H3,H4,H5,H6,H7,H8,H9,HS,K1,K2,L1,L2,L3,L4,L5,LI1,LI2,LI3,N1,P1,PL1,R1,R2,S1,S2,S3,S4,S5,S6,S9,U2,U3,U4,U5,accuracy,macro avg,weighted avg
precision,0.8571428571428571,0.6666666666666666,0.9,0.8970588235294118,1.0,1.0,0.7532467532467533,0.7678571428571429,0.7894736842105263,0.9523809523809523,1.0,0.975609756097561,0.7664233576642335,0.5454545454545454,0.8148148148148148,0.7777777777777778,1.0,0.6,0.7901990811638591,0.25,0.8620689655172413,0.6410256410256411,0.9051724137931034,0.9408602150537635,0.7155963302752294,0.7478991596638656,0.803030303030303,0.3333333333333333,0.9090909090909091,1.0,1.0,1.0,0.9166666666666666,1.0,0.8,0.875,0.9936908517350158,0.9696969696969697,0.9452054794520548,0.987012987012987,0.5,0.5,0.5714285714285714,0.9278350515463918,0.75,0.8275862068965517,0.9717514124293786,0.9390243902439024,0.7073170731707317,0.75,0.9807692307692307,1.0,0.0,0.3333333333333333,0.8468690183210281,0.8001574390402275,0.846068895360583
recall,1.0,0.5,0.8181818181818182,0.9682539682539683,0.8421052631578947,1.0,0.928,0.8775510204081632,0.6818181818181818,0.8695652173913043,1.0,0.975609756097561,0.7446808510638298,0.2608695652173913,0.38596491228070173,0.6086956521739131,1.0,0.6666666666666666,0.8256,1.0,0.7575757575757576,0.5617977528089888,0.9292035398230089,0.9358288770053476,0.7597402597402597,0.7739130434782608,0.8907563025210085,0.1111111111111111,1.0,0.5,0.95,0.9761904761904762,0.6875,0.8571428571428571,0.5,0.84,0.984375,0.9795918367346939,0.9324324324324325,0.95,1.0,0.45714285714285713,0.6666666666666666,0.9473684210526315,0.42857142857142855,0.8,0.9555555555555556,0.9506172839506173,0.7073170731707317,0.375,0.9622641509433962,0.6666666666666666,0.0,0.5,0.8468690183210281,0.7638498559814103,0.8468690183210281
f1-score,0.923076923076923,0.5714285714285715,0.8571428571428572,0.9312977099236641,0.9142857142857143,1.0,0.8315412186379929,0.819047619047619,0.7317073170731707,0.909090909090909,1.0,0.975609756097561,0.7553956834532374,0.3529411764705882,0.5238095238095238,0.6829268292682927,1.0,0.631578947368421,0.8075117370892018,0.4,0.8064516129032258,0.5988023952095809,0.9170305676855894,0.938337801608579,0.737007874015748,0.7606837606837608,0.844621513944223,0.16666666666666666,0.9523809523809523,0.6666666666666666,0.9743589743589743,0.9879518072289156,0.7857142857142857,0.923076923076923,0.6153846153846154,0.8571428571428572,0.989010989010989,0.9746192893401016,0.9387755102040816,0.9681528662420381,0.6666666666666666,0.4776119402985075,0.6153846153846153,0.9374999999999999,0.5454545454545454,0.8135593220338982,0.9635854341736695,0.9447852760736196,0.7073170731707317,0.5,0.9714285714285713,0.8,0.0,0.4,0.8468690183210281,0.7660097012484784,0.8432552091050975
precision,1.0,0.6363636363636364,0.8936170212765957,0.8768115942028986,1.0,1.0,0.7597402597402597,0.7592592592592593,0.6666666666666666,1.0,1.0,0.9534883720930233,0.7596899224806202,0.7777777777777778,0.8529411764705882,0.7333333333333333,1.0,0.8,0.7644444444444445,0.5,0.8333333333333334,0.6046511627906976,0.8974358974358975,0.9553072625698324,0.7261146496815286,0.7563025210084033,0.8046875,0.3333333333333333,0.9090909090909091,1.0,1.0,0.9761904761904762,0.9285714285714286,1.0,0.6,0.9333333333333333,0.9905362776025236,0.9702970297029703,0.9594594594594594,0.9866666666666667,0.4,0.5517241379310345,0.6666666666666666,0.9583333333333334,1.0,0.8,0.9608938547486033,0.9156626506024096,0.7297297297297297,0.5,0.9807692307692307,0.75,0.5,0.6666666666666666,0.8441345365053322,0.8199979810245845,0.8446703631810867
recall,0.8333333333333334,0.5833333333333334,0.7636363636363637,0.9603174603174603,0.7368421052631579,1.0,0.936,0.8367346938775511,0.7272727272727273,0.8695652173913043,1.0,1.0,0.6950354609929078,0.30434782608695654,0.5087719298245614,0.4782608695652174,1.0,0.6666666666666666,0.8256,1.0,0.7575757575757576,0.5842696629213483,0.9292035398230089,0.9144385026737968,0.7402597402597403,0.782608695652174,0.865546218487395,0.1111111111111111,1.0,0.5,0.95,0.9761904761904762,0.8125,0.7142857142857143,0.375,0.84,0.98125,1.0,0.9594594594594594,0.925,1.0,0.45714285714285713,0.6666666666666666,0.968421052631579,0.7142857142857143,0.9333333333333333,0.9555555555555556,0.9382716049382716,0.6585365853658537,0.125,0.9622641509433962,1.0,0.2,1.0,0.8441345365053322,0.7782202664234213,0.8441345365053322
f1-score,0.9090909090909091,0.6086956521739131,0.8235294117647058,0.9166666666666666,0.8484848484848484,1.0,0.8387096774193549,0.796116504854369,0.6956521739130435,0.9302325581395349,1.0,0.9761904761904763,0.725925925925926,0.43750000000000006,0.6373626373626374,0.5789473684210527,1.0,0.7272727272727272,0.7938461538461538,0.6666666666666666,0.7936507936507938,0.5942857142857143,0.9130434782608695,0.9344262295081966,0.7331189710610932,0.7692307692307693,0.834008097165992,0.16666666666666666,0.9523809523809523,0.6666666666666666,0.9743589743589743,0.9761904761904762,0.8666666666666666,0.8333333333333333,0.4615384615384615,0.8842105263157894,0.9858712715855572,0.9849246231155778,0.9594594594594594,0.9548387096774195,0.5714285714285715,0.5,0.6666666666666666,0.9633507853403142,0.8333333333333333,0.8615384615384616,0.958217270194986,0.9268292682926829,0.6923076923076923,0.2,0.9714285714285713,0.8571428571428571,0.28571428571428575,0.8,0.8441345365053322,0.7821799807907561,0.8408723879873924
precision,1.0,0.5454545454545454,0.8775510204081632,0.8623188405797102,0.9090909090909091,1.0,0.7718120805369127,0.7636363636363637,0.7619047619047619,1.0,1.0,1.0,0.7906976744186046,0.5454545454545454,0.896551724137931,0.7647058823529411,1.0,0.7222222222222222,0.7752976190476191,0.5,0.8125,0.6707317073170732,0.9051724137931034,0.967032967032967,0.7147239263803681,0.7711864406779662,0.84,0.5,0.90625,1.0,1.0,0.9761904761904762,0.9333333333333333,1.0,0.7142857142857143,0.84,0.9904761904761905,0.9696969696969697,0.9466666666666667,0.987012987012987,0.5,0.4838709677419355,0.6,0.9468085106382979,0.6666666666666666,0.7931034482758621,0.9297297297297298,0.9058823529411765,0.7222222222222222,0.0,0.9803921568627451,1.0,0.6666666666666666,1.0,0.8455017774131802,0.8171722352565618,0.8448167209956793
recall,0.8333333333333334,0.5,0.7818181818181819,0.9444444444444444,0.5263157894736842,1.0,0.92,0.8571428571428571,0.7272727272727273,0.9565217391304348,1.0,1.0,0.723404255319149,0.2608695652173913,0.45614035087719296,0.5652173913043478,1.0,0.7222222222222222,0.8336,1.0,0.7878787878787878,0.6179775280898876,0.9292035398230089,0.9411764705882353,0.7564935064935064,0.7913043478260869,0.8823529411764706,0.2222222222222222,0.9666666666666667,0.5,0.95,0.9761904761904762,0.875,0.5714285714285714,0.625,0.84,0.975,0.9795918367346939,0.9594594594594594,0.95,1.0,0.42857142857142855,0.5,0.9368421052631579,0.2857142857142857,0.7666666666666667,0.9555555555555556,0.9506172839506173,0.6341463414634146,0.0,0.9433962264150944,1.0,0.4,0.5,0.8455017774131802,0.7593844278839678,0.8455017774131802
f1-score,0.9090909090909091,0.5217391304347826,0.8269230769230769,0.9015151515151516,0.6666666666666666,1.0,0.8394160583941606,0.8076923076923076,0.7441860465116279,0.9777777777777777,1.0,1.0,0.7555555555555555,0.3529411764705882,0.6046511627906976,0.65,1.0,0.7222222222222222,0.8033924441017734,0.6666666666666666,0.8,0.6432748538011696,0.9170305676855894,0.953929539295393,0.7350157728706624,0.7811158798283262,0.860655737704918,0.30769230769230765,0.9354838709677419,0.6666666666666666,0.9743589743589743,0.9761904761904762,0.9032258064516129,0.7272727272727273,0.6666666666666666,0.8399999999999999,0.9826771653543307,0.9746192893401016,0.9530201342281879,0.9681528662420381,0.6666666666666666,0.4545454545454545,0.5454545454545454,0.9417989417989417,0.4,0.7796610169491527,0.9424657534246577,0.927710843373494,0.6753246753246753,0.0,0.9615384615384616,1.0,0.5,0.6666666666666666,0.8455017774131802,0.7736910866884179,0.8419158782195455
precision,1.0,0.5,0.9166666666666666,0.8872180451127819,1.0,1.0,0.7581699346405228,0.8070175438596491,0.7894736842105263,0.9523809523809523,1.0,0.9318181818181818,0.7307692307692307,0.6363636363636364,0.8,0.9166666666666666,1.0,0.7142857142857143,0.7734724292101341,0.5,0.7714285714285715,0.5903614457831325,0.859504132231405,0.9456521739130435,0.7101910828025477,0.7355371900826446,0.8046875,0.5,0.8787878787878788,1.0,1.0,0.9761904761904762,0.9375,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.990506329113924,0.9693877551020408,0.9583333333333334,0.9866666666666667,0.4,0.4827586206896552,0.5555555555555556,0.9473684210526315,0.5,0.8387096774193549,0.9606741573033708,0.9506172839506173,0.7317073170731707,0.0,0.9803921568627451,0.6666666666666666,1.0,0.6666666666666666,0.8386655728739404,0.8016871504743173,0.8381052767116062
