,A2,AB1,AB3,AB4,AB5,AB6,B1,B2,BL1,C1,C2,C3,H1,H12,H13,H15,H17,H18,H2,H20,H3,H4,H5,H6,H7,H8,H9,HS,K1,K2,L1,L2,L3,L4,L5,LI1,LI2,LI3,N1,P1,PL1,R1,R2,S1,S2,S3,S4,S5,S6,S9,U2,U3,U4,U5,accuracy,macro avg,weighted avg
precision,1.0,0.375,0.9038461538461539,0.9083969465648855,1.0,0.3333333333333333,0.7225806451612903,0.7547169811320755,0.8333333333333334,0.7407407407407407,1.0,0.9318181818181818,0.6823529411764706,0.75,0.8823529411764706,0.875,0.9166666666666666,0.75,0.819620253164557,0.16666666666666666,0.7647058823529411,0.7702702702702703,0.8909090909090909,0.9105263157894737,0.7560137457044673,0.7394957983193278,0.828125,0.0,0.9090909090909091,1.0,0.875,0.9111111111111111,0.6190476190476191,0.75,0.25,0.9565217391304348,0.948948948948949,0.9603960396039604,0.9444444444444444,1.0,0.4,0.41379310344827586,0.5,0.8271604938271605,0.23076923076923078,0.46875,0.8019323671497585,0.8974358974358975,0.6037735849056604,0.75,0.9811320754716981,0.6666666666666666,0.6666666666666666,1.0,0.8189773038009297,0.7470206071452746,0.8269913480029933
recall,1.0,0.5,0.8545454545454545,0.9444444444444444,0.8421052631578947,1.0,0.896,0.8163265306122449,0.6818181818181818,0.8695652173913043,0.9090909090909091,1.0,0.8226950354609929,0.391304347826087,0.5263157894736842,0.6086956521739131,1.0,0.8333333333333334,0.8288,1.0,0.7878787878787878,0.6404494382022472,0.8672566371681416,0.9251336898395722,0.7142857142857143,0.7652173913043478,0.8907563025210085,0.0,1.0,0.5,0.7,0.9761904761904762,0.8125,0.42857142857142855,0.125,0.44,0.9875,0.9897959183673469,0.918918918918919,0.9375,1.0,0.34285714285714286,0.6666666666666666,0.7052631578947368,0.8571428571428571,0.5,0.9222222222222223,0.43209876543209874,0.7804878048780488,0.375,0.9811320754716981,0.6666666666666666,0.4,0.5,0.8189773038009297,0.7381765226260846,0.8189773038009297
f1-score,1.0,0.42857142857142855,0.8785046728971962,0.9260700389105058,0.9142857142857143,0.5,0.7999999999999999,0.7843137254901962,0.7499999999999999,0.7999999999999999,0.9523809523809523,0.9647058823529412,0.7459807073954984,0.5142857142857143,0.6593406593406594,0.717948717948718,0.9565217391304348,0.7894736842105262,0.8241845664280031,0.2857142857142857,0.7761194029850745,0.6993865030674847,0.8789237668161435,0.9177718832891247,0.7345575959933222,0.7521367521367521,0.8582995951417005,0.0,0.9523809523809523,0.6666666666666666,0.7777777777777777,0.9425287356321839,0.7027027027027026,0.5454545454545454,0.16666666666666666,0.6027397260273973,0.9678407350689128,0.9748743718592964,0.9315068493150684,0.967741935483871,0.5714285714285715,0.375,0.5714285714285715,0.7613636363636362,0.36363636363636365,0.4838709677419355,0.8578811369509044,0.5833333333333333,0.6808510638297872,0.5,0.9811320754716981,0.6666666666666666,0.5,0.6666666666666666,0.8189773038009297,0.7142892353208619,0.8159623251941145
precision,0.8,0.5454545454545454,0.9090909090909091,0.937007874015748,0.9375,0.5,0.75,0.8372093023255814,0.8,0.782608695652174,0.8181818181818182,0.9534883720930233,0.8888888888888888,0.5517241379310345,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8014705882352942,0.0,0.7666666666666667,0.7857142857142857,0.7553956834532374,0.9358288770053476,0.7534246575342466,0.7164179104477612,0.85,0.2222222222222222,0.8,0.3333333333333333,0.7916666666666666,0.875,0.75,0.6666666666666666,0.5,0.775,0.9634146341463414,0.968421052631579,0.9459459459459459,0.975,0.2857142857142857,0.5625,0.7142857142857143,0.8947368421052632,0.35714285714285715,0.7058823529411765,0.864406779661017,0.5675675675675675,0.7142857142857143,0.5,0.9629629629629629,1.0,0.4,0.3333333333333333,0.824172819250752,0.7268519738656972,0.830813546788711
recall,0.6666666666666666,0.5,0.9090909090909091,0.9444444444444444,0.7894736842105263,1.0,0.84,0.7346938775510204,0.7272727272727273,0.782608695652174,0.8181818181818182,1.0,0.624113475177305,0.6956521739130435,0.42105263157894735,0.6956521739130435,1.0,0.7777777777777778,0.872,0.0,0.696969696969697,0.6179775280898876,0.9292035398230089,0.9358288770053476,0.7142857142857143,0.8347826086956521,0.8571428571428571,0.2222222222222222,0.9333333333333333,0.5,0.95,1.0,0.9375,0.2857142857142857,0.25,0.62,0.9875,0.9387755102040817,0.9459459459459459,0.975,1.0,0.2571428571428571,0.8333333333333334,0.7157894736842105,0.7142857142857143,0.4,0.85,0.7777777777777778,0.6097560975609756,0.625,0.9811320754716981,0.6666666666666666,0.8,0.5,0.824172819250752,0.7344767994589938,0.824172819250752
f1-score,0.7272727272727272,0.5217391304347826,0.9090909090909091,0.9407114624505929,0.8571428571428572,0.6666666666666666,0.7924528301886793,0.782608695652174,0.761904761904762,0.782608695652174,0.8181818181818182,0.9761904761904763,0.7333333333333334,0.6153846153846154,0.5925925925925926,0.6808510638297872,1.0,0.7777777777777778,0.8352490421455938,0.0,0.7301587301587302,0.6918238993710691,0.8333333333333331,0.9358288770053476,0.7333333333333334,0.7710843373493976,0.8535564853556485,0.2222222222222222,0.8615384615384616,0.4,0.8636363636363635,0.9333333333333333,0.8333333333333334,0.4,0.3333333333333333,0.6888888888888889,0.9753086419753086,0.9533678756476685,0.9459459459459459,0.975,0.4444444444444445,0.3529411764705882,0.7692307692307692,0.7953216374269005,0.4761904761904762,0.5106382978723405,0.8571428571428572,0.65625,0.6578947368421052,0.5555555555555556,0.9719626168224299,0.8,0.5333333333333333,0.4,0.824172819250752,0.712735050981219,0.821018736033828
precision,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.9435483870967742,0.9444444444444444,0.3333333333333333,0.819672131147541,0.6507936507936508,0.8333333333333334,0.75,0.8888888888888888,0.9534883720930233,0.782258064516129,0.8571428571428571,0.8378378378378378,0.7222222222222222,1.0,0.8235294117647058,0.7899543378995434,0.3333333333333333,0.78125,0.6153846153846154,0.8559322033898306,0.9411764705882353,0.7515723270440252,0.7980769230769231,0.7714285714285715,0.5,0.9666666666666667,1.0,1.0,1.0,0.6521739130434783,0.75,0.5,0.8461538461538461,0.9720496894409938,0.9245283018867925,0.9444444444444444,1.0,0.3333333333333333,0.5,0.5,0.8717948717948718,0.6666666666666666,0.5909090909090909,0.7772511848341233,0.6794871794871795,0.6818181818181818,0.5,0.9622641509433962,0.6,0.6,1.0,0.8249931637954607,0.7687192898311351,0.8265550573244381
recall,1.0,0.6666666666666666,0.8727272727272727,0.9285714285714286,0.8947368421052632,1.0,0.8,0.8367346938775511,0.6818181818181818,0.782608695652174,0.7272727272727273,1.0,0.6879432624113475,0.2608695652173913,0.543859649122807,0.5652173913043478,1.0,0.7777777777777778,0.8304,1.0,0.7575757575757576,0.7191011235955056,0.8938053097345132,0.9411764705882353,0.775974025974026,0.7217391304347827,0.907563025210084,0.1111111111111111,0.9666666666666667,0.5,0.8,0.9761904761904762,0.9375,0.8571428571428571,0.25,0.66,0.978125,1.0,0.918918918918919,0.975,1.0,0.2857142857142857,0.6666666666666666,0.7157894736842105,0.5714285714285714,0.43333333333333335,0.9111111111111111,0.654320987654321,0.7317073170731707,0.25,0.9622641509433962,1.0,0.6,0.5,0.8249931637954607,0.7553172208384619,0.8249931637954607
f1-score,0.923076923076923,0.6666666666666666,0.8807339449541284,0.936,0.918918918918919,0.5,0.8097165991902835,0.7321428571428571,0.7499999999999999,0.7659574468085107,0.7999999999999999,0.9761904761904763,0.7320754716981132,0.4,0.6595744680851063,0.6341463414634146,1.0,0.7999999999999999,0.8096723868954759,0.5,0.7692307692307692,0.6632124352331606,0.8744588744588744,0.9411764705882353,0.7635782747603834,0.7579908675799086,0.833976833976834,0.1818181818181818,0.9666666666666667,0.6666666666666666,0.888888888888889,0.9879518072289156,0.7692307692307693,0.7999999999999999,0.3333333333333333,0.7415730337078651,0.9750778816199377,0.9607843137254902,0.9315068493150684,0.9873417721518987,0.5,0.36363636363636365,0.5714285714285715,0.7861271676300579,0.6153846153846153,0.5,0.8388746803069055,0.6666666666666667,0.7058823529411764,0.3333333333333333,0.9622641509433962,0.7499999999999999,0.6,0.6666666666666666,0.8249931637954607,0.7379555881520459,0.8213294217141276
precision,0.8,0.5,0.9361702127659575,0.9,0.8,1.0,0.7346938775510204,0.7948717948717948,0.7142857142857143,0.7333333333333333,1.0,0.9318181818181818,0.8425925925925926,1.0,0.8529411764705882,0.8571428571428571,1.0,0.8666666666666667,0.7953890489913544,0.25,0.8846153846153846,0.8169014084507042,0.8771929824561403,0.9615384615384616,0.7337461300309598,0.732824427480916,0.8320610687022901,0.3076923076923077,0.8823529411764706,1.0,0.9,0.9318181818181818,1.0,1.0,0.3333333333333333,0.8888888888888888,0.9723076923076923,0.9494949494949495,0.9857142857142858,0.974025974025974,0.4,0.4782608695652174,0.36363636363636365,0.8717948717948718,1.0,0.7272727272727273,0.8040201005025126,0.5825242718446602,0.6756756756756757,0.75,0.9298245614035088,1.0,0.8,0.25,0.8290948865190046,0.7945819132576396,0.8356492207032287
